,Pret_Raw,Full_Description,Suprafata_Utila,Nr_Camere,An_Constructie,Zona
1462,65 000 €,"1 |  /  | 7 | 65 000 € | 1806 €/m² | Vanzare apartament 1 camera decomandat - baza 3 | Bularga, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 36 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Se vinde apartament cu o camer&#259; decomandat, situat &icirc;n zona Baza 3, vis-a-vis de Carrefour Felicia, &icirc;ntr-un bloc construit &icirc;n 1980, pe pl&#259;ci. Etaj: 3 din 4 Suprafa&#539;&#25... | Top Imobil | Agenție imobiliară",36.0,1.0,1980.0,Bularga
1472,85 000 €,"1 |  /  | 8 | 85 000 € | 2710 €/m² | Central - bloc nou | 2 camere ready to move | disponibil imediat | Stradela Uzinei, Uzinei, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 31.36 m² | Etaj | parter | Vezi descrierea anunțului | casa-alba.ro - din 2001
Impartim bucuria de a fi acasa!

Agentia Imobiliara Casa Alba va prezinta spre vanzare un apartament cu 2 camere open-space, situat intr-un imobil nou din zona centrala, la ... | Agentia Imobiliara Casa Alba | Agenție imobiliară",31.36,2.0,2001.0,Stradela Uzinei
1478,53 900 €,"1 |  /  | 7 | 53 900 € | 2246 €/m² | Etaj 2 I Apartament 1 camera 24mp - Frumoasa I CT, AC | Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 24 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Cod Oferta: PG87925Compania Imobiliara PREMIER Grup va propune spre vanzare un apartament cu o camera, model decomandat, avand suprafata de 24mp si aflat intr-un bloc construit in anul 1983, din zona ... | PREMIER Grup Imobiliare | Agenție imobiliară",24.0,1.0,1983.0,Iasi (General)
1479,77 000 €,"1 |  /  | 5 | 77 000 € | 1833 €/m² | Apartament 1 camera decomandat Nicolina/Rondu Vechi | Nicolina 2, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 42 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 1 camera, model decomandat, sitiuat le etajul 1 al unui bloc turn,  construit in 1990, in zona Rondu Vechi/ Soseaua Nicolina
Apartamentul este renovat, dispu... | Smart Casa Imobiliare | Agenție imobiliară",42.0,1.0,1990.0,Nicolina 2
1487,106 000 €,"1 |  /  | 9 | 106 000 € | 2000 €/m² | Apartament modern cu 2 camere, mobilat, etaj 2/3, BLOC NOU, Pepinierii | Aleea Tudor Neculai, CUG, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 53 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Apartament modern cu 2 camere, MOBILAT si utilat, INTABULAT, aflat la ETAJUL 2/3, intr-un BLOC NOU din zona Pepinierii Tudor NeculaiApartamentul are o suprafata de 53 mp si este compus din: camera de ... | Greenland Imobiliare | Agenție imobiliară",53.0,2.0,2000.0,Aleea Tudor Neculai
1496,55 000 €,"1 |  /  | 6 | 55 000 € | 2500 €/m² | Garsoniera pacurari in bloc de apartamente | Pacurari, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 22 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Va propunem spre achizitie o garsoniera aflata in zona pacurari, la bulevard. Imobilul are o suprafata de 22mp si se afla la etajul 3/10 al unui bloc de apartamente construit in anul 1977. Nu este cam... | Smart Casa Imobiliare | Agenție imobiliară",22.0,1.0,1977.0,Pacurari
1505,70 980 €,"1 |  /  | 8 | 70 980 € | 1972 €/m² | Apartament de vanzare, 1 camera, etajul 34, Gara, Iasi | Gara, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 36 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Evo Imobiliare propune spre v&acirc;nzare un apartament cu o camer&#259;, decomandat, situat &icirc;n zona G&#259;rii, Ia&#537;i.Suprafa&#539;&#259; util&#259;: 36 mp  Balcon: 3 mp   Etaj: 3 din 4   A... | Evo Imobiliare | Agenție imobiliară",36.0,1.0,1972.0,Apartament de vanzare
1510,85 000 €,"1 |  /  | 14 | 85 000 € | 1977 €/m² | Apartament 2 camere, Podu de Piatra-Cantemir, mobilat si utilat | Cantemir, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 43 m² | Etaj | parter | Vezi descrierea anunțului | COD OFERTA; CP6618Agentia Casa Prima va propune spre vanzare un apartament cu 2 camere cu o suprafata de 43 mp in zona Cantemir-Podu Ros la parter intr-un bloc de 4 etaje construit in anul 1969.Aparta... | Agentia CASA PRIMA | Agenție imobiliară",43.0,2.0,1977.0,Cantemir
1511,79 900 €,"1 |  /  | 11 | 79 900 € | 2663 €/m² | Apartament o camera+ terasa- CUG, Al T Neculai | CUG, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 30 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Agentia Top Imobil va propune spre vanzare un apartament decomandat cu suprafata de 30mp + terasa 17 mp, situat la etajul 1 intr-un bloc din 2015 in zona CUG, Al. T. Neculai.Imobilul se vinde mobilat ... | Top Imobil | Agenție imobiliară",30.0,1.0,2015.0,CUG
1512,105 000 €,"1 |  /  | 11 | 105 000 € | 1981 €/m² | Apartament 2 camere 53mp - Bucium I CT + AC, 2 locuri parcare | Bucium, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 53 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Cod Oferta: PG87908Compania Imobiliara PREMIER Grup va propune spre vanzare un apartament cu 2 camere, modelul open-space, cu suprafata de 53mp, situat intr-un bloc nou finalizat in anul 2016 din zona... | PREMIER Grup Imobiliare | Agenție imobiliară",53.0,2.0,1981.0,Bucium
1514,108 000 €,"1 |  /  | 11 | 108 000 € | 1964 €/m² | Apartament 2 camere, 55 mp, zona Podu Rosu | Tesatura, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 55 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Blitz vă propune spre vânzare un apartament de 2 camere, cu o suprafață utilă de 55 mp, situat într-o zonă foarte bună, aproape de mijloace de transport, magazine și alte puncte de interes.Compartimen... | BLITZ | Agenție imobiliară",55.0,2.0,1964.0,Tesatura
1517,240 000 €,"1 |  /  | 9 | 240 000 € | 3000 €/m² | Apartament 3 camere – 60 mp utili + terasă 20 mp, zonă Podu Ros | Podu Ros, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 80 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Vă propunem spre vânzare un apartament modern cu 3 camere, situat într-un imobil finalizat în 2021, la doar 1-2 minute de Palas și Palatul Culturii.Locuința are o suprafață utilă de 60 mp, completată ... | FIDELIA CASA ALEXANDRU SRL | Agenție imobiliară",60.0,3.0,2021.0,Podu Ros
1518,92 000 €,"1 |  /  | 12 | 92 000 € | 2140 €/m² | Apartament 2 camere de vanzare zona Pacurari -Alpha Bank | Pacurari, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 43 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Apartament 2 camere – Păcurari, spate Alpha BankPreț: 92.000 € (negociabil)Suprafață utilă: 43 mpEtaj: 1 / 4An construcție: 2018Compartimentare: SemidecomandatEliberare: 15 decembrie 2025Locație:Apart... | FIDELIA CASA ALEXANDRU SRL | Agenție imobiliară",43.0,2.0,2018.0,Pacurari
1522,140 000 €,"1 |  /  | 13 | 140 000 € | 2333 €/m² | Apartament luxos cu 2 camere in zona Bucium | Bucium, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 60 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Agentia imobiliara Central Casa va recomanda spre cumparare un apartament decomandat, amplasat in zona Bucium, intr-un bloc nou din 2015:- situat la etajul 4 din 4 niveluri, cu pod- este prevazut cu b... | Central Casa | Agenție imobiliară",60.0,2.0,2015.0,Bucium
1523,360 000 €,"1 |  /  | 9 | 360 000 € | 3158 €/m² | Apartament 3 camere Copou - Fundatie | Copou, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 114 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Agentia imobiliara Central Casa va recomanda spre cumparare un apartament decomandat, amplasat central in zona Copou - Fundatie, intr-un bloc din 2000:- este situat la etajul 4 din 7 niveluri- cu 3 ca... | Central Casa | Agenție imobiliară",114.0,3.0,2000.0,Copou
1524,96 000 €,"1 |  /  | 8 | 96 000 € | 1778 €/m² | Apartament 2 camere decomandat, renovat- Nicolina, Rond Vechi | CUG, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 54 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 2 camere modelul decomandat, cu suprafata de 54mp, geam la baie, situat la etajul 4 din 4, intr-un bloc construit in anul 1983 fara risc seismic!.Apartamentul... | Top Imobil | Agenție imobiliară",54.0,2.0,1983.0,CUG
1527,165 000 €,"1 |  /  | 18 | 165 000 € | 1864 €/m² | Nicolina - Apartament 4 camere DECOMANDAT 97,01 mp | Nicolina 1, Iasi, Iasi | Numărul de camere | 4 camere | Prețul pe metru pătrat | 88.51 m² | Etaj | 7 etajul | Vezi descrierea anunțului | DESTINE IMOBILIARE va prezinta urmatoarea oferta spre vanzare:* Apartament 4 camere decomandat - in Nicolina* Preț: 165.000 € ușor negociabil- An construcție bloc 1987 | Bloc pe cadre, cu lift nou si ... | Destine Imobiliare | Agenție imobiliară",1.0,4.0,1987.0,Nicolina 1
1528,141 900 €,"1 |  /  | 9 | 141 900 € | 1971 €/m² | Apartament cu 3 camere decomandat, 2 bai - Pacurari – Contemporan Home | Pacurari, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 72 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Agentia Top Imobil va propune spre vanzare un apartament modern, situat &icirc;ntr-un bloc nou, &icirc;n zona P&#259;curari, complexul Contemporan Homes, etajul 1 (parter in acte).Detalii apartament:-... | Top Imobil | Agenție imobiliară",72.0,3.0,1971.0,Pacurari
1529,120 000 €,"1 |  /  | 7 | 120 000 € | 1875 €/m² | Apartament cu 3 camere decomandat, 2 bai - Pacurari - Petru Poni | Pacurari, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 64 m² | Etaj | parter | Vezi descrierea anunțului | Agentia Top Imobil va propune spre vanzare un apartament cu 3 camere decomandat, model cu 2 bai, etaj parter inalt intr-un bloc cu 4 nivele, construit in anul 1987, zona Pacurari.Apartamentul dispune ... | Top Imobil | Agenție imobiliară",64.0,3.0,1987.0,Pacurari
1535,81 000 €,"1 |  /  | 7 | 81 000 € | 2025 €/m² | Apartament de 2 camere, 40 mp, zona Alexandru cel Bun | Alexandru Cel Bun, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 40 m² | Etaj | 9 etajul | Vezi descrierea anunțului | Blitz va propune pentru cumparare un apartament de 2 camere, cu o suprafata totala de 40 mp, situat la etajul 9 unui bloc de 10 etaje din zona Alexandru. Acesta este compus din 2 camere, 1 baie, 1 buc... | BLITZ | Agenție imobiliară",40.0,2.0,2025.0,Alexandru Cel Bun
1538,129 900 €,"1 |  /  | 10 | 129 900 € | 1998 €/m² | Apartament 3 camere, mobilat, parcare, boxa, BLOC NOU, Pepinierii | Aleea Tudor Neculai, CUG, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 65 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Apartament cu 3 camere open-space, complet mobilat si utilat, aflat la etajul 4 ( cu lift ), intr-un BLOC NOU din zona Pepinierii - Tudor NeculaiApartamentul este compus din camera de zi cu bucatarie ... | Greenland Imobiliare | Agenție imobiliară",65.0,3.0,1998.0,Aleea Tudor Neculai
1539,60 000 €,"1 |  /  | 9 | 60 000 € | 2000 €/m² | Ap 1 Cam, INTABULAT, etaj 1, 30 mp,Parcare INCLUSA, Capat Cug Visoianu | Ciurea, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 30 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Apartament 1 Camere, Bloc Relativ Nou an constructie 2015 , loc de PARCARE inclus, etaj 1 , Semi Mobilat, Cartier Visoianu!Apartamentul este de tip DECOMANDAT fiind format din : camera de zi, bucatari... | Greenland Imobiliare | Agenție imobiliară",30.0,1.0,2000.0,Ciurea
1542,60 000 €,"1 |  /  | 8 | 60 000 € | 2000 €/m² | Apartament 1 camera, ETAJ 1, BLOC NOU, parcare, Visoianu | CUG, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 30 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Apartament 1 camera, DECOMANDAT, aflat la ETAJUL 1 intr-un BLOC NOU ( intabulat ) din Cartierul VisoianuApartamentul are o suprafata de 30 mp si este compus din: camera de zi, bucatarie separata, hol,... | Greenland Imobiliare | Agenție imobiliară",30.0,1.0,2000.0,CUG
1548,179 000 €,"1 |  /  | 19 | 179 000 € | 1584 €/m² | 3 camere 2 bai Cug 113mp Mobilat Utilat | CUG, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 113 m² | Etaj | 5 etajul | Vezi descrierea anunțului | 3 camere, 113mp, Iasi, cartierul Cug, Strada Hlicea, nr.44, 2 minute de bulevard Bloc 2009 cu structura solida pe cadre din beton si zidarie din caramida, curte privata cu acces securizat, videointerf... | Reactualizat | Omega Intermed | Agenție imobiliară",113.0,3.0,2009.0,CUG
1565,215 000 €,"1 |  /  | 20 | 215 000 € | 3258 €/m² | Newton  Tatarasi - 3 camere 72mp- Intabulat - bloc nou | Strada Vasile Lupu, Tatarasi Sud, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 66 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Newton Residence- Tatarasi - Spitaul Sfânta Maria 
 66 mp utili - 3 camere (2 dormitoare) , 2 bai- 72 mp totali - etaj 2 din 9 

Bloc nou (2017) cu lift modern
Complex rezidențial locuit 100%, adm... | VIBE REAL ESTATE | Agenție imobiliară",72.0,3.0,2017.0,Strada Vasile Lupu
1571,74 000 €,"1 |  /  | 11 | 74 000 € | 1423 €/m² | Apartament 2 camere Podu Ros-Cantemir, eliberare rapida | Podu Ros, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 52 m² | Etaj | 4 etajul | Vezi descrierea anunțului | COD OFERTA; CP6615Agentia imobiliara CASA PRIMA va ofera spre vanzare un apartament cu 2 camere cu o suprafata totala de 52mp, situat la etajul 4/4 intr-un bloc construit din anul 1965 amplasat in zon... | Agentia CASA PRIMA | Agenție imobiliară",52.0,2.0,1965.0,Podu Ros
1572,67 800 €,"1 |  /  | 8 | 67 800 € | 1541 €/m² | Bloc nou | Apartament 2 camere 44mp - Tătărași | CT + AC | Tatarasi Nord, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 44 m² | Etaj | 5 etajul | Vezi descrierea anunțului | Cod Oferta: PG61580Compania Imobiliara PREMIER GRUP va propune spre achizitie un apartament cu 2 camere, pozitionat excelent, intr-un bloc finalizat in anul 2012 din zona Tatarasi – Kaufland.Apartamen... | PREMIER Grup Imobiliare | Agenție imobiliară",44.0,2.0,2012.0,Tatarasi Nord
1575,80 500 €,"1 |  /  | 9 | 80 500 € | 2013 €/m² | Apartament cu 2 camere | Alexandru Cel Bun, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 40 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Va propun spre vanzare un apartament cu 2 camere modelul decomandat, cu suprafata de 40mp, situat la etajul 4 din 10 cu lift nou, intr-un bloc construit in anul 1975 fara risc seismic.     Apartamentu... | IDEAL HOME | Agenție imobiliară",40.0,2.0,2013.0,Alexandru Cel Bun
1576,87 000 €,"1 |  /  | 7 | 87 000 € | 1673 €/m² | Apartament 2 camere, DECOMANDAT, mobilat, bloc 1985, Nicolina | Nicolina 2, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 52 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Apartament 2 camere, DECOMANDAT, aflat la etajul 4/4 intr-un bloc din anul 1986 in zona Nicolina - ClopotariApartamentul are o suprafata de 52 mp si este compus din: camera de zi, dormitor, baie cu ge... | Greenland Imobiliare | Agenție imobiliară",52.0,2.0,1985.0,Nicolina 2
1583,75 000 €,"1 |  /  | 6 | 75 000 € | 1786 €/m² | Apartament 2 camere  Familial | Alexandru Cel Bun, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 42 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Va propunem spre achizitie un apartament cu 2 camere decomdandat situat in zona Alexandru cel Bun, restaurant Familial. Imobilul are o suprafata de 42mp si se afla la etajul 3/4 al unui bloc din 1979.... | Smart Casa Imobiliare | Agenție imobiliară",42.0,2.0,1979.0,Alexandru Cel Bun
1584,135 000 €,"1 |  /  | 11 | 135 000 € | 2872 €/m² | Podul de Fier - 2 camere decomandat - renovat complet | Podu de Fier, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 47 m² | Etaj | parter | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 2 camere, modelul decomandat, renovat complet si cu materiale de foarte buna calitate, situat la parterul unui bloc de 4 etaje construit dupa anul 1980 in zon... | IDEAL HOME | Agenție imobiliară",47.0,2.0,1980.0,Podu de Fier
1586,92 000 €,"1 |  /  | 8 | 92 000 € | 2190 €/m² | Exclusiv! Apartament 2 camere Tomesti - Iasi, et 3, bloc nou | Podu Ros, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 42 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Apartament de vanzare situat in zona Tomesti Iasi, in imediata apropiere de mijloacele de trasnport in comun si magazinele alimentare din zona : Penny, viitorul Family Market.Constructie 2021, bloc no... | Best Solutions | Agenție imobiliară",42.0,2.0,2021.0,Podu Ros
1590,82 000 €,"1 |  /  | 7 | 82 000 € | 1952 €/m² | Apartament cu 2 camere - Canta | Canta, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 42 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Agentia Top Imobil va propune spre vanzare un apartament cu 2 camere, cu o suprafata de 42mp, Strada Canta &ndash; Ia&#537;i, langa posta Pacurari, etajul 4 din 4 cu pod.Apartamentul dispune de centra... | Top Imobil | Agenție imobiliară",42.0,2.0,1952.0,Canta
1592,80 500 €,"1 |  /  | 7 | 80 500 € | 2013 €/m² | Apartament 2 camere Alexandru cel Bun | Alexandru Cel Bun, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 40 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 2 camere decomandat in zona Alexandru cel Bun cu suprafata de 40mp. 
Imobilul este situat la etajul 4/10, bloc fara risc seismic, se accepta si plata prin cr... | Smart Casa Imobiliare | Agenție imobiliară",40.0,2.0,2013.0,Alexandru Cel Bun
1594,94 000 €,"1 |  /  | 9 | 94 000 € | 1774 €/m² | Popas Păcurari - 2 Camere - ETAJ 1-Mobilat & Utilat - Boxa+Loc parcare | Pacurari, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 53 m² | Etaj | parter | Vezi descrierea anunțului | Apartament modern cu 2 camere open space, 53 mp, situat la etajul 1 într-un bloc construit în 2012, în apropiere de Popas Păcurari. Se vinde mobilat și utilat complet, exact ca în fotografii.Locație e... | Reactualizat | Viva Imobiliare | Agenție imobiliară",53.0,2.0,2012.0,Pacurari
1599,85 000 €,"1 |  /  | 8 | 85 000 € | 1667 €/m² | Apartament 2 camere decomandat, Clopotari - Nicolina | Nicolina 2, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 51 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Vă propun spre vânzare un apartament cu 2 camere decomandat, situat la etajul 4 cu pod, in zona Nicolina (Clopotari)

Suprafață utilă: 51 mp
An constructie 1984

Apartamentul este ideal pentru a ... | Cabinet Imobiliar | Agenție imobiliară",51.0,2.0,1984.0,Nicolina 2
1600,65 600 €,"1 |  /  | 12 | 65 600 € | 1600 €/m² | NOU APARTAMENT 1 CAMERA  41mp PLATOU GALATA | Nicolina 1, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 41 m² | Etaj | 1 etajul | Vezi descrierea anunțului | TEL: 0790888001
Pret tva 21% inclus  65600 euro 
Credit 69700 euro
Parcare supraterana 8000 euro
Parcare subterana 10000 euro
IDEAL INVESTITIE!
Termen de predare decembrie 2025
Vă oferim oportu... | ACASA IMOBILIARE | Agenție imobiliară",41.0,1.0,2025.0,Nicolina 1
1605,88 000 €,"1 |  /  | 8 | 88 000 € | 1833 €/m² | Apartament 2 camere Podu Ros, etaj intermediar, mutare imediata | Podu Ros, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 48 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Cod Oferta; CP6513Agentia Casa Prima va propune spre vanzare un apartament de 2 camere semidecomandat cu o suprafata de 48mp in zona Podu Ros, la etajul 3/4 intr-un bloc construit in 1965.Apartamentul... | Agentia CASA PRIMA | Agenție imobiliară",48.0,2.0,1965.0,Podu Ros
1608,72 000 €,"1 |  /  | 8 | 72 000 € | 1469 €/m² | Apartament 1 camera Nicolina-Rond Vechi, 49mp !! | Nicolina 1, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 49 m² | Etaj | 7 etajul | Vezi descrierea anunțului | COD OFERTA: CP6556Agentia imobiliara CASA PRIMA va ofera spre vanzare un apartament cu 1 camera decomandat ce dispune de o suprafata de 49mp total, intr-un bloc construit in anul 1987, situat la etaju... | Agentia CASA PRIMA | Agenție imobiliară",49.0,1.0,1987.0,Nicolina 1
1609,85 000 €,"1 |  /  | 9 | 85 000 € | 1667 €/m² | Apartament 2 camere decomandat Nicolina 2 | Nicolina 2, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 51 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Propunem spre achizitie un apartament cu 2 camere, mode decomandat, situat la etajul 4 din 4 al unui bloc construit in 1985 in zona Nicolina 2, pe strada Clopotari
Apartamentul nu are probleme cu inf... | Smart Casa Imobiliare | Agenție imobiliară",51.0,2.0,1985.0,Nicolina 2
1610,117 000 €,"1 |  /  | 10 | 117 000 € | 2127 €/m² | Apartament 2 Camere Decomandat Nicolina2 | Nicolina 2, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 55 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Oferta Noua!

Va propunem spre vanzare un apartament cu 2 camere, model decomandat, stiuat la etajul 1 din 4 al unui bloc construit in 1986, in Nicolina
Apartamentul are suprafata de aproximativ 55... | Smart Casa Imobiliare | Agenție imobiliară",55.0,2.0,1986.0,Nicolina 2
1614,105 000 €,"1 |  /  | 10 | 105 000 € | 1750 €/m² | Apartament 3 camere Cantemir-Podu de Piatra, renovat | Cantemir, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 60 m² | Etaj | 4 etajul | Vezi descrierea anunțului | COD OFERTA; CP6579Agentia Casa Prima va propune spre vanzare un apartament de 3 camere decomandat cu o suprafata de 60mp in zona Podu Ros, la etajul 4/4 intr-un bloc construit in 1965.Apartamentul a f... | Agentia CASA PRIMA | Agenție imobiliară",60.0,3.0,1965.0,Cantemir
1615,99 900 €,"1 |  /  | 3 | 99 900 € | 1998 €/m² | Apartament 2 camere Podu Ros-Cantemir, pozitionare excelenta | Podu Ros, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 50 m² | Etaj | 4 etajul | Vezi descrierea anunțului | COD OFERTA; CP6613Agentia imobiliara CASA PRIMA va ofera spre vanzare un apartament cu 2 camere cu o suprafata totala de 50mp, situat la etajul 4/4 intr-un bloc construit din anul 1967 amplasat in zon... | Agentia CASA PRIMA | Agenție imobiliară",50.0,2.0,1998.0,Podu Ros
1618,132 945 €,"În acest proiect vei găsi anunțuri potrivite criteriilor tale | finalizat | ... | 1 |  /  | 18 | Serenis Apartments Pacurari - Iasi | Strada Nicolae Oblu, Pacurari, Iasi, Iasi | Cere prețul | Prețul pe metru pătrat | 39.7-87.2 m² | Vezi descrierea anunțului | Într-un colț liniștit din zona Păcurari, Iași, te așteaptă Serenis Apartments, un bloc nou, modern și elegant, construit cu atenție pentru fiecare detaliu.Imaginează-ți cum dimineața începe într-un ap... | Reactualizat | Serenis Apartments | Dezvoltator | Intabulat! Ap 2 camere+parcare+boxa, 66.3 mp,Pacurari | 132 945 € | 2005 €/m² | Numărul de camere | 2 camere | Prețul pe metru pătrat | 66.3 m² | Intabulat! Ap 1 camera+parcare+boxa, 44.9 mp,Pacurari | 98 280 € | 2189 €/m² | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 44.9 m² | Intabulat! Ap 3 camere+parcare+boxa, 87.2 mp,Pacurari | 171 460 € | 1966 €/m² | Numărul de camere | 3 camere | Prețul pe metru pătrat | 87.2 m² | Intabulat!! Ap 2 camere+parcare+boxa, 59 mp,Pacurari | 123 265 € | 2089 €/m² | Numărul de camere | 2 camere | Prețul pe metru pătrat | 59 m² | Pagina 1 din 2 | Mai sunt anunțuri în acest proiect | Descoperă toate anunțurile",87.2,2.0,2005.0,Strada Nicolae Oblu
1620,83 000 €,"1 |  /  | 10 | 83 000 € | 1844 €/m² | Galata- Apartament O Camera + Loc De Parcare - Bloc 2025 Intabulat - 4 | Nicolina 1, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 45 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Va propunem  spre vanzare un apartament cu o   Camera Decomandat + Loc De Parcare   , situat in zona Galata .Imobilul se afla la etajul 1 al unui   bloc cu 3 nivele    , blocul fiind  construit in anu... | IDEAL HOME | Agenție imobiliară",45.0,1.0,2025.0,Nicolina 1
1624,135 000 €,"1 |  /  | 12 | 135 000 € | 1753 €/m² | Apartament 4 camere decomandat – 77 mp utili – parter înalt cu boxă | Iasi, Iasi | Numărul de camere | 4 camere | Prețul pe metru pătrat | 77 m² | Etaj | parter | Vezi descrierea anunțului | Va propun spre vanzare un apartament spatios cu 4 camere, complet decomandat, situat la parterul inalt al unui bloc din placi prefabricate, construit in anul 1983, in Cartierul Frumoasa, foarte aproap... | FIDELIA CASA ALEXANDRU SRL | Agenție imobiliară",77.0,4.0,1983.0,Iasi (General)
1628,150 000 €,"1 |  /  | 6 | 150 000 € | 1765 €/m² | 4 camere, bl.82, fara risc, liber, Zimbru- 150000euro, discutabil | Centru, Iasi, Iasi | Numărul de camere | 4 camere | Prețul pe metru pătrat | 85 m² | Etaj | parter | Vezi descrierea anunțului | Apartament cu 4 camere la parter, model decomandat, an constructie 1982.
imbunatatiri; centrala termica; geamuri termopan, usa metalica.
Actele pregatite ptr vanzare, se poate cumpara prin credit banc... | Agenție imobiliară",85.0,4.0,1982.0,Centru
